"评论编号","评论用户","评论微博","评论内容","sentiment"
"1","南山寿眉3","1","[热评]一个愿打，一个愿挨！","0"
"2","青未秋分","1","[热评]人家安安静静生活被你们媒体天天玩弄","0"
"3","心正身正法正","1","[热评]重要的不是这些，而是：什么是“国家精神奖”，这是什么奖？根据法律规定：以“国家”名义设置的任何奖项，都必须通过国家级部门批准，那么，这个学校所获得什么“国家精神奖”，是哪个部门设置的？这才是重点；打着“国家”旗号涉及的问题性质就不是那么简单的了。必须好好查一下。[允悲]","0"
"4","郭路铭","1","后妈是不是滴蜡加油，小皮鞭伺候，天天不给人饭吃，还动不动毒打继子女的那种人，如果是，请法律判处她们死刑","0"
"5","溯洄千里雁","1","现在很多职高学校在初中学校招生，初三班主任说是现在报名职高中学便宜可以不参加中考，初三第二学期不在初中读，直接去职高上学去。这样是否符合法律法规？","0"
"6","为什么我的头像是别人的自拍","1","这学校是昨天才开的吗 教育局？","0"
"7","老衲我听说","1","说不定是孙楠派孩子是去做卧底了，时候收网查处这个学校了","0"
"8","我要大醉一场","1","可恶的后妈","0"
"9","南山寿眉3","1","一个愿打，一个愿挨！","0"
"10","资深爱国兽医","1","一个愿打，一个愿挨！","0"
"11","八宝四爷","1","转发微博","1"
"12","頁梵小呆","1","一个爹给孩子的教育还要网友督促官方调查，果然娶了后妈就是后爹了所以千万别把抚养权交给爹","0"
"13","秋色7来","1","后妈把自己的孩子送国外深造，孙楠的孩子租700房租上夏宫，比知否的林小娘还狠","0"
"14","Ars-胡洲","1","后妈把自己的孩子送国外深造，孙楠的孩子租700房租上夏宫，比知否的林小娘还狠","0"
"15","心正身正法正","1","重要的不是这些，而是：什么是“国家精神奖”，这是什么奖？根据法律规定：以“国家”名义设置的任何奖项，都必须通过国家级部门批准，那么，这个学校所获得什么“国家精神奖”，是哪个部门设置的？这才是重点；打着“国家”旗号涉及的问题性质就不是那么简单的了。必须好好查一下。[允悲]","0"
"16","青未秋分","1","人家安安静静生活被你们媒体天天玩弄","0"
"17","AC蓦然回首","1","人家安安静静生活被你们媒体天天玩弄","0"
"18","相忘于江湖_11137","1","人家安安静静生活被你们媒体天天玩弄","0"
"19","我是LXP","1","人家安安静静生活被你们媒体天天玩弄","0"
"20","小唐的影武者","1","自己的孩子出国留学，把自己的继子送去这种学校，就是心智不正。我虽然是徐州人，但是坚决反对这种洗脑学校。","0"
"21","水之歌者","1","这种学校，封建遗毒，就是祸害！","0"
"22","可爱老鼠吃老虎","1","你说你收谁的孩子不行，非整个过气明星的，那还不炒死你！","0"
"23","可爱老鼠吃老虎","1","还是明星力量大！","0"
"24","柴rrr","1","这个学校因为他要倒霉了","0"
"25","你甲谁","1","把孙楠一家人整的神神叨叨","0"
"26","资深爱国兽医","1","想起他去朝鲜和白头山伟人握手的那奴才相，照片谁还有？","0"
